sasdate,RPI,INDPRO,UNRATE,UEMPLT5,UEMPMEAN,DPCERA3M086SBEA,M2REAL,AAA,CPIAUCSL,S&P div yield
1/1/1959,2289.8,21.9289,6.0,1574,16.3,18.191,987.9,4.12,29.01,3.1583423230000003
2/1/1959,2299.6,22.3584,5.9,1554,15.5,18.38,992.1,4.14,29.0,3.219517984
3/1/1959,2314.4,22.6805,5.6,1459,15.3,18.555,998.3,4.13,28.97,3.151709402
4/1/1959,2328.5,23.1636,5.2,1494,14.9,18.488,1001.0,4.23,28.98,3.11150613
5/1/1959,2342.5,23.5125,5.1,1479,14.7,18.71,1006.2,4.37,29.04,3.076828847
6/1/1959,2350.3,23.5394,5.0,1522,14.9,18.779,1010.3,4.46,29.11,3.1152105810000004
7/1/1959,2348.5,22.9757,5.1,1591,14.3,18.715999999999998,1012.7,4.47,29.15,3.0074824239999995
8/1/1959,2335.8,22.1973,5.2,1607,13.7,18.828,1015.8,4.43,29.18,3.035909091
9/1/1959,2336.7,22.1705,5.5,1602,13.7,19.017,1014.4,4.52,29.25,3.172655565
10/1/1959,2340.8,22.0094,5.7,1750,12.9,18.887,1010.2,4.57,29.35,3.187140351
11/1/1959,2358.3,22.1436,5.8,1745,13.1,18.879,1012.3,4.56,29.35,3.185968897
12/1/1959,2380.9,23.5125,5.3,1657,13.1,18.858,1012.6,4.58,29.41,3.098543854
1/1/1960,2391.2,24.1298,5.2,1638,13.5,18.91,1015.3,4.61,29.37,3.216732724
2/1/1960,2392.8,23.9151,4.8,1431,13.1,18.993,1015.0,4.56,29.41,3.4122086769999997
3/1/1960,2397.2,23.7004,5.4,1666,13.0,19.262,1018.0,4.49,29.41,3.525990549
4/1/1960,2405.6,23.5125,5.2,1735,12.6,19.56,1015.9,4.45,29.54,3.48704468
5/1/1960,2411.7,23.4857,5.1,1718,11.9,19.166,1017.6,4.46,29.57,3.525298805
6/1/1960,2412.8,23.1904,5.4,1738,11.9,19.160999999999998,1020.9,4.45,29.61,3.405518687
7/1/1960,2415.3,23.1099,5.5,1709,12.6,19.2,1029.1,4.41,29.55,3.492120344
8/1/1960,2414.0,23.0831,5.6,1746,12.2,19.182000000000002,1036.5,4.28,29.61,3.450716687
9/1/1960,2417.6,22.8415,5.5,1677,12.9,19.274,1041.5,4.25,29.61,3.557744937
10/1/1960,2424.5,22.8147,6.1,1766,13.5,19.367,1040.3,4.3,29.75,3.629257398
11/1/1960,2413.5,22.4926,6.1,1718,13.9,19.3,1044.0,4.31,29.78,3.515413737
12/1/1960,2401.0,22.0631,6.6,2102,12.4,19.064,1048.0,4.35,29.81,3.433098592
1/1/1961,2424.5,22.09,6.6,1884,13.7,19.112000000000002,1052.6,4.32,29.84,3.259661755
2/1/1961,2434.1,22.0631,6.9,2037,13.6,19.183,1060.7,4.27,29.84,3.125832395
3/1/1961,2443.3,22.1973,6.9,1863,14.1,19.421,1066.7,4.22,29.84,3.025577043
