;IDX0AUDEURCR;IDX0CHFEURCR;IDX0GBPEURCR;IDX0JPYEURCR;IDX0NOKEURCR;IDX0USDEURCR;IDX0BRLEURCR;IDX0MXNEURCR;IDX0IDREURCR;IDX0INREURCR;IDX0PHPEURCR;IDX0CNYUSDCR;IDX0SGDEURCR;JPMIT1T3;JPMIT3T5;JPMIT5T7;JPMES3T5;JPMES5T7;JPMPT3T5;JPMPT5T7;JPMEMU1T3;JPMEMUGBI;JPMDE5T7;JPMDE7T10;JPMUS3T5;JPMUS5T7;JPMUS7T10;JPILUILA;JPEIGLBL;JGENEMUL;JPEG103;JPEG305;JPEE13YR;JPEE35YR;ER01;ER02;HE00;H0A0;IDX0LX10TUUU;IDX0DBCDXHY5;IDX0DBCDIU5T;IDX0ITRXPX5I;EU0009658152;IDX00000SX7T;SWISSMIC;FTPTT100;GDUEEGF;MSCI0GDLETCF;SPTR;IDX0SPTRFINL;NASDAQ100;NIKKEITR;IDX00GOLDBUL;IDX000WTIOIL;IDX00DJUBSCM;IT0000000BOT;JPMCASH3M
18-giu-99;122.4118;100.5319;110.4573;105.7621;112.4985;114.5756;83.6592;133.5853;144.4745;117.3651;122.3164;102.1363;109.423;162.8131;185.4738;233.0399;170.2688;204.6618;174.3011;203.7024;136.352;159.375;150.6847;156.2623;240.517;255.872;267.306;-9999;151.96;-9999;116.49108;107.65909;-9999;110.85607;112.777;119.97;115.174;363.398;-9999;-9999;-9999;-9999;4765.31;369.9;-9999;2927.6;548.518;45.141;1835.478;379.85;2205.46;-9999;151.9;17.99;80.8426;214.28;229.735
21-giu-99;122.5236;100.8414;110.633;104.6042;112.9914;115.1404;84.0196;134.147;149.6487;117.9491;122.6628;102.1447;109.7927;162.5869;184.9268;231.3816;169.8785;203.4248;174.0272;203.1121;136.186;158.7481;150.0953;155.4383;240.152;255.111;266.259;-9999;152.18;-9999;116.5082;107.62037;-9999;111.01143;112.77;119.935;115.83;363.502;-9999;-9999;-9999;-9999;4823.83;371.48;-9999;2952;559.19;47.056;1843.931;383;2268.66;-9999;151.55;17.71;80.3974;214.3;229.78
22-giu-99;123.551;100.8867;110.8233;105.4025;112.8105;115.3967;83.5824;135.0971;156.9597;118.1554;123.5226;102.1546;110.6696;162.5037;184.5887;230.495;169.559;202.5965;174.2238;202.2967;136.1077;158.3048;149.66;154.7743;239.934;254.684;265.624;-9999;152.36;-9999;116.52038;107.39463;-9999;111.0454;112.662;119.61;115.826;363.542;-9999;-9999;-9999;-9999;4810.32;369.36;-9999;2939.07;562.209;48.702;1826.001;379.68;2209.89;-9999;151.32;17.61;80.2503;214.29;229.793
23-giu-99;124.268;100.7638;110.0089;105.0713;112.8082;115.274;82.925;134.2439;156.7409;117.9587;123.1643;102.1628;110.3741;162.3675;184.0422;229.486;169.1682;201.6988;172.9069;200.7723;136.0123;157.8039;149.1245;154.0638;239.51;253.988;264.556;-9999;151.14;-9999;116.59272;106.77809;-9999;111.22032;112.555;119.325;115.853;363.184;-9999;-9999;-9999;-9999;4775.06;366.93;-9999;2913.97;554.922;50.762;1822.169;374.7;2239.33;-9999;152.42;18.23;80.9268;214.28;229.811
24-giu-99;123.3274;100.664;109.7101;104.3213;112.284;114.4549;82.0548;132.2554;155.8089;116.936;122.0158;102.1793;109.6069;162.1046;183.3011;226.831;168.5655;200.0491;172.5175;199.4848;135.8511;156.8617;148.2464;152.7646;239.289;253.517;263.846;-9999;150.43;-9999;116.30162;106.6953;-9999;111.18009;112.416;118.91;115.906;363.033;-9999;-9999;-9999;-9999;4713.45;364.12;-9999;2878.19;550.459;50.004;1798.552;367.28;2184.87;-9999;152.77;18.05;80.6614;214.3;229.827
25-giu-99;123.7802;100.681;109.4968;104.5082;112.2068;114.2686;82.2344;131.4385;155.0536;116.6745;121.9612;102.1942;109.4323;162.1622;183.5331;227.882;168.8536;200.9186;172.6032;200.0054;135.8918;157.1519;148.6345;153.3503;239.56;253.877;264.343;-9999;149.34;-9999;116.27817;106.00878;-9999;110.86232;112.514;119.032;115.781;363.117;-9999;-9999;-9999;-9999;4664.09;364.2;-9999;2886.59;545.096;49.524;1797.914;369.15;2185.76;-9999;151.84;18.09;80.7722;214.3;229.836
28-giu-99;124.0708;100.6679;110.2082;105.4646;112.2833;115.3753;83.7273;133.852;160.8094;117.8293;122.7535;102.1973;110.2947;162.1573;183.3942;227.823;168.7375;200.6939;172.4618;199.6891;135.8969;157.2207;148.5708;153.2882;240.068;254.697;265.45;-9999;149.69;-9999;116.42296;106.17876;-9999;110.93834;112.481;118.89;116.048;363.241;-9999;-9999;-9999;-9999;4697.94;365.26;-9999;2873.28;550.447;51.63;1820.09;376.84;2243.94;-9999;152.54;18.23;80.5235;214.33;229.885
29-giu-99;124.1124;100.6166;109.6841;106.022;112.7592;115.5211;84.0556;134.4646;157.9713;118.0017;123.0053;102.1994;110.4184;162.2333;183.5518;228.2714;168.7748;200.89;172.6478;200.1086;135.9295;157.3521;148.6456;153.4606;240.282;255.126;266.034;-9999;150.39;-9999;116.71804;106.87426;-9999;111.11401;112.488;118.937;116.103;363.472;-9999;-9999;-9999;-9999;4724.14;367;-9999;2829.02;553.293;53.678;1847.586;381.3;2280.06;-9999;152.54;18.44;80.9865;214.35;229.9
30-giu-99;125.8519;100.3323;109.7029;105.5967;112.79;115.1756;84.7223;135.2972;157.572;117.6845;122.3311;102.2124;110.2667;162.2547;183.6843;228.5855;168.8963;201.1124;172.6869;200.0379;135.9791;157.4648;148.7461;153.5261;241.575;256.987;268.298;-9999;152;-9999;116.78368;107.56586;-9999;111.33904;112.596;119.112;116.429;364.272;-9999;-9999;-9999;-9999;4726.38;367.54;-9999;2834.15;555.816;54.193;1876.783;388.03;2296.77;-9999;153.47;19.29;82.5994;214.37;229.917
01-lug-99;127.1227;100.2709;110.6663;107.1186;113.0995;116.5496;84.8781;136.2566;156.6488;119.0974;123.9211;102.2291;111.7772;162.3365;183.7502;228.2105;168.8593;200.4469;172.8374;199.8359;136.0005;157.2691;148.5588;153.133;241.279;256.448;267.63;-9999;151.84;-9999;116.88593;107.26484;-9999;111.29959;112.591;119.131;116.926;364.717;-9999;-9999;-9999;-9999;4823.39;373.82;-9999;2910.57;564.188;53.772;1888.149;390.12;2322.32;-9999;153.94;19.39;82.0516;214.43;229.943
